Date,Price,Open,High,Low,Volume,PctChange
17-Mar,364.25,373.25,383,362.75,-,-0.68%
17-Feb,366.75,360,380,358,3.71M,1.95%
17-Jan,359.75,352,371,351.5,3.62M,2.20%
16-Dec,352,337,363,331,1.22M,4.53%
16-Nov,336.75,354.75,356.5,335.5,4.10M,-5.07%
16-Oct,354.75,336.25,359.25,335.25,3.55M,5.35%
16-Sep,336.75,302,342.25,301.75,1.76M,11.69%
16-Aug,301.5,332.5,334.75,301,2.34M,-9.87%
16-Jul,334.5,360.75,374.5,326.75,1.07M,-6.76%
16-Jun,358.75,404.25,439.25,355.75,4.55M,-11.37%
16-May,404.75,388.75,413.5,367,2.07M,3.72%
16-Apr,390.25,351.75,402,347.25,4.43M,11.02%
16-Mar,351.5,353.5,374,347.5,2.11M,-0.57%
16-Feb,353.5,371,373.75,352.5,3.58M,-4.97%
16-Jan,372,359.5,373,348.5,3.57M,3.69%
15-Dec,358.75,365.25,381.75,357,1.57M,-1.71%
15-Nov,365,381.25,383.5,356,4.09M,-4.51%
15-Oct,382.25,387.75,399.75,372,3.50M,-1.42%
15-Sep,387.75,362.5,395,346.75,1.71M,6.60%
15-Aug,363.75,370,391.5,346.5,2.47M,-1.95%
15-Jul,371,411,438.75,365.75,1.57M,-10.39%
15-Jun,414,350.5,415,346.75,4.33M,17.78%
15-May,351.5,362.5,371.5,348.25,1.66M,-3.03%
15-Apr,362.5,377,390,359,3.19M,-3.65%
15-Mar,376.25,383,398.5,367,2.16M,-2.15%
15-Feb,384.5,369.75,391.75,367.5,3.08M,3.92%
15-Jan,370,396.25,409.5,365.75,3.19M,-6.80%
14-Dec,397,374,417,364.25,1.38M,5.66%
14-Nov,375.75,374.5,389,359,3.71M,-0.27%
14-Oct,376.75,320.25,381,318.25,3.80M,17.46%
14-Sep,320.75,357.5,360.75,319.5,1.44M,-10.65%
14-Aug,359,357,370,347.75,1.96M,0.56%
14-Jul,357,423.75,423.75,356.5,1.03M,-15.85%
14-Jun,424.25,465,470.5,422.5,2.61M,-8.91%
14-May,465.75,513.25,519.5,465,1.27M,-9.39%
14-Apr,514,501.5,519,485.5,2.65M,2.39%
14-Mar,502,459,503.75,457.25,1.34M,9.73%
14-Feb,457.5,433.5,459,433.25,3.19M,5.41%
14-Jan,434,422,435.5,406.25,3.25M,2.84%
13-Dec,422,414.75,436,410,879.44K,1.63%
13-Nov,415.25,427.75,438,410.75,3.72M,-3.04%
13-Oct,428.25,441.25,449.75,427,2.95M,-3.00%
13-Sep,441.5,501.25,504.5,440.75,1.32M,-10.81%
13-Aug,495,499,522.75,453.75,1.62M,-0.80%
13-Jul,499,678.5,800,488.25,988.75K,-26.54%
13-Jun,679.25,661.25,685.5,640.5,2.05M,2.61%
13-May,662,679.5,722.5,632.5,1.22M,-3.11%
13-Apr,683.25,679,693,626.5,2.67M,-1.73%
13-Mar,695.25,719.5,749,695.25,1.22M,-3.37%
13-Feb,719.5,740.25,746.25,687.25,2.70M,-2.84%
13-Jan,740.5,706.25,744.5,678,2.88M,6.05%
12-Dec,698.25,752,759,687.5,874.51K,-6.65%
12-Nov,748,755.5,763.25,710.5,3.13M,-1.03%
12-Oct,755.75,760.25,776,732.25,3.00M,-0.07%
12-Sep,756.25,805,818.25,705,1.56M,-5.79%
12-Aug,802.75,806.5,843.75,776.75,1.60M,-0.46%
12-Jul,806.5,682,828.75,679.75,1.03M,19.93%
12-Jun,672.5,557.75,676.25,551,2.76M,21.12%
12-May,555.25,659.25,685.75,553.5,1.90M,-15.90%
12-Apr,660.25,649.5,666,599.5,2.76M,2.52%
12-Mar,644,655.75,678.5,603,2.00M,-1.90%
12-Feb,656.5,639,659,621.75,3.24M,2.74%
12-Jan,639,662,664.25,592.5,3.42M,-1.16%
11-Dec,646.5,602,648.5,570,1.27M,7.53%
